0.000412,15,14,
0.000406,15,14,
0.000622,18,15,
0.000643,18,15,
0.000419,15,13,
0.000437,15,13,
0.000412,17,13,
0.000505,19,17,
0.000696,38,22,
0.000529,19,17,
0.000693,38,22,
0.00035,15,13,
0.000478,18,17,
0.000733,38,24,
0.000468,18,17,
0.000735,38,24,
0.000328,14,11,
0.000427,17,15,
0.000686,37,22,
0.000465,17,15,
0.000713,37,22,
0.001101,31,26,
0.001097,31,26,
0.001157,24,20,
0.00069,23,20,
0.000653,23,20,
0.00035,17,14,
0.000346,17,14,
0.000364,17,14,
0.000386,17,14,
0.000352,17,14,
0.000351,17,14,
0.001341,35,31,
0.001348,35,31,
0.000334,18,13,
0.000328,18,13,
0.001007,30,26,
0.000978,30,26,
0.000331,13,13,
0.000346,13,13,
0.001354,36,34,
0.003911,39,37,
0.004988,56,53,
0.007613,82,68,
0.008086,87,71,
0.008515,90,74,
0.010679,107,90,
0.014789,133,105,
0.015365,138,108,
0.015912,141,111,
0.018876,158,127,
0.024218,184,142,
0.024933,189,145,
0.146713,192,148,
0.02975,209,164,
0.036413,235,179,
0.03734,240,182,
0.037488,240,182,
0.026104,193,148,
0.016956,142,111,
0.010049,91,74,
0.005902,40,37,
0.001115,28,26,
0.002595,31,29,
0.003548,48,45,
0.006027,74,60,
0.006424,79,63,
0.00726,82,66,
0.008806,99,82,
0.012817,125,97,
0.013322,130,100,
0.013341,130,100,
0.007452,83,66,
0.003608,32,29,
0.001751,34,32,
0.006248,37,35,
0.007256,54,51,
0.009959,80,66,
0.010394,85,69,
0.01092,88,72,
0.013028,105,88,
0.017338,131,103,
0.01794,136,106,
0.017889,136,106,
0.019467,139,108,
0.0195,139,108,
0.019426,137,107,
0.019509,137,107,
0.019467,136,106,
0.019587,136,106,
0.026788,196,138,
0.02681,196,138,
0.013233,89,72,
0.009198,38,35,
0.001168,32,32,
0.004127,35,35,
0.005205,52,51,
0.007845,78,66,
0.008258,83,69,
0.0087,86,72,
0.01062,103,88,
0.014469,129,103,
0.015125,134,106,
0.015707,137,109,
0.018521,154,125,
0.02465,180,140,
0.02493,185,143,
0.025559,188,146,
0.150697,205,162,
0.036396,231,177,
0.037386,236,180,
0.026188,189,146,
0.016818,138,109,
0.010274,87,72,
0.006256,36,35,
0.000836,24,24,
0.002161,27,27,
0.00319,44,43,
0.005494,70,58,
0.005976,75,61,
0.0062,78,64,
0.008339,95,80,
0.011906,121,95,
0.012504,126,98,
0.006735,79,64,
0.003048,28,27,
0.001573,30,30,
0.005761,33,33,
0.007154,50,49,
0.009403,76,64,
0.009789,81,67,
0.010299,84,70,
0.012203,101,86,
0.016447,127,101,
0.017088,132,104,
0.018584,135,106,
0.018714,133,105,
0.018573,133,105,
0.012198,85,70,
0.00829100000001,34,33,
0.000962000000001,28,27,
0.003008,31,30,
0.004138,48,46,
0.006463,74,61,
0.006848,79,64,
0.007218,82,67,
0.009454,99,83,
0.013075,125,98,
0.013645,130,101,
0.014177,133,104,
0.017041,150,120,
0.022484,176,135,
0.023228,181,138,
0.023907,184,141,
0.036211,201,157,
0.034807,227,172,
0.035883,232,175,
0.024332,185,141,
0.015098,134,104,
0.008469,83,67,
0.00492999999999,32,30,
0.000849000000002,25,24,
0.00218,28,27,
0.003152,45,43,
0.00547599999999,71,58,
0.005963,76,61,
0.006203,79,64,
0.008349,96,80,
0.011851,122,95,
0.012493,127,98,
0.00665800000001,80,64,
0.002971,29,27,
0.001631,31,30,
0.006787,34,33,
0.008131,51,49,
0.010453,77,64,
0.010868,82,67,
0.011245,85,70,
0.013286,102,86,
0.017473,128,101,
0.01804,133,104,
0.020045,136,106,
0.019944,134,105,
0.019914,134,105,
0.013509,86,70,
0.00964,35,33,
