infer,0.000367
foldmap_annots,3.00000000003e-06
state,1.00000000003e-06
smap,1.00000000003e-06
infer,0.000297
constraints,3.00000000003e-06
foldmap_annots,4e-06
state,2.99999999998e-06
smap,1.00000000003e-06
infer,0.000339
constraints,4e-06
foldmap_annots,8.99999999993e-06
state,1.09999999999e-05
smap,2e-06
infer,0.000697
constraints,2.3e-05
foldmap_annots,4.6e-05
state,2.00000000001e-05
smap,4.99999999992e-06
infer,0.001023
constraints,5.10000000002e-05
foldmap_annots,7.29999999999e-05
state,2e-05
smap,3.00000000003e-06
infer,0.001349
constraints,7.69999999999e-05
foldmap_annots,8.79999999998e-05
state,2e-06
smap,1.00000000003e-06
infer,0.000375
constraints,6.00000000001e-06
foldmap_annots,1.9e-05
state,1.09999999999e-05
smap,3.00000000003e-06
infer,0.001162
constraints,6.09999999994e-05
foldmap_annots,8.20000000004e-05
state,1.29999999999e-05
smap,9.99999999918e-07
infer,0.001601
constraints,8.99999999999e-05
foldmap_annots,0.000114
state,2.1e-05
smap,1.00000000003e-06
infer,0.001583
constraints,7.4e-05
foldmap_annots,0.000111
state,1.2e-05
smap,1.00000000003e-06
infer,0.00155
constraints,7.70000000003e-05
foldmap_annots,0.000109
state,3.20000000003e-05
smap,2.99999999998e-06
infer,0.001326
constraints,7.10000000002e-05
foldmap_annots,0.000109
state,3.1e-05
smap,6.99999999998e-06
infer,0.001249
constraints,6.49999999998e-05
foldmap_annots,0.000102
smap,1.00000000003e-06
infer,0.00061
constraints,3.30000000003e-05
foldmap_annots,3.39999999998e-05
state,1.40000000001e-05
smap,1.99999999995e-06
infer,0.001108
constraints,5.4e-05
foldmap_annots,7.09999999995e-05
state,1.69999999998e-05
smap,2.99999999998e-06
infer,0.000895
constraints,4.40000000005e-05
foldmap_annots,6.69999999997e-05
state,1.89999999999e-05
smap,3.99999999978e-06
infer,0.000906
constraints,4.69999999995e-05
foldmap_annots,7.10000000004e-05
state,3.80000000001e-05
smap,5.99999999984e-06
infer,0.001926
constraints,0.000107999999999
foldmap_annots,0.000123999999999
